State,State Code,District,Party,Candidate,Incumbent,Votes,Pct%
Alabama,AL,1st,Republican,Carl* ,Incumbent,"139,854",84.2%
Alabama,AL,1st,Libertarian Party,Remrey ,/,"26,197",15.8%
Alabama,AL,2nd,Republican,Moore* ,Incumbent,"137,193",69.2%
Alabama,AL,2nd,Democratic,Harvey-Hall ,/,"57,800",29.1%
Alabama,AL,2nd,Libertarian Party,Realz ,/,"3,380",1.7%
Alabama,AL,3rd,Republican,Rogers* ,Incumbent,"135,448",71.3%
Alabama,AL,3rd,Democratic,Veasey ,/,"47,770",25.1%
Alabama,AL,3rd,  ,Bell ,/,"3,826",2.0%
Alabama,AL,3rd,Libertarian Party,Casson ,/,"3,027",1.6%
Alabama,AL,4th,Republican,Aderholt* ,Incumbent,"164,371",84.2%
Alabama,AL,4th,Democratic,Neighbors ,/,"26,628",13.6%
Alabama,AL,4th,Libertarian Party,Cochran ,/,"4,294",2.2%
Alabama,AL,5th,Republican,Strong ,/,"141,988",67.2%
Alabama,AL,5th,Democratic,Warner-Stanton ,/,"62,466",29.6%
Alabama,AL,5th,Libertarian Party,Greer ,/,"6,740",3.2%
Alabama,AL,6th,Republican,Palmer* ,Incumbent,"154,058",84.7%
Alabama,AL,6th,Libertarian Party,Chieffo ,/,"27,792",15.3%
Alabama,AL,7th,Democratic,Sewell* ,Incumbent,"123,060",63.6%
Alabama,AL,7th,Republican,Nichols ,/,"67,353",34.8%
Alabama,AL,7th,Libertarian Party,Goodman ,/,"3,207",1.7%
Alaska,AK, Alaska’s At-large district,Democratic,Mary Peltola* ,Incumbent,"136,893",54.9%
Alaska,AK, Alaska’s At-large district,Republican,Sarah Palin ,/,"112,255",45.1%
Alaska,AK, Alaska’s At-large district,Republican,Nick Begich ,/,0,0.0%
Alaska,AK, Alaska’s At-large district,Libertarian Party,Chris Bye ,/,0,0.0%
Alaska,AK, Alaska’s At-large district,  ,Total Write-Ins ,/,0,0.0%
Arizona,AZ,1st,Republican,Schweikert* ,Incumbent,"182,336",50.4%
Arizona,AZ,1st,Democratic,Hodge ,/,"179,141",49.6%
Arizona,AZ,2nd,Republican,Crane ,/,"174,169",53.9%
Arizona,AZ,2nd,Democratic,O'Halleran* ,Incumbent,"149,150",46.1%
Arizona,AZ,3rd,Democratic,Gallego* ,Incumbent,"108,599",77.0%
Arizona,AZ,3rd,Republican,Zink ,/,"32,475",23.0%
Arizona,AZ,4th,Democratic,Stanton* ,Incumbent,"148,941",56.1%
Arizona,AZ,4th,Republican,Cooper ,/,"116,521",43.9%
Arizona,AZ,5th,Republican,Biggs* ,Incumbent,"182,464",56.7%
Arizona,AZ,5th,Democratic,Ramos ,/,"120,243",37.4%
Arizona,AZ,5th,Ind.,Smith ,/,"18,851",5.9%
Arizona,AZ,6th,Republican,Ciscomani ,/,"177,201",50.7%
Arizona,AZ,6th,Democratic,Engel ,/,"171,969",49.3%
Arizona,AZ,7th,Democratic,Grijalva* ,Incumbent,"126,418",64.5%
Arizona,AZ,7th,Republican,Pozzolo ,/,"69,444",35.5%
Arizona,AZ,8th,Republican,Lesko* ,Incumbent,,Uncontested
Arizona,AZ,9th,Republican,Gosar* ,Incumbent,,Uncontested
Arkansas,AR,1st,Republican,Crawford* ,Incumbent,"152,933",73.8%
Arkansas,AR,1st,Democratic,Hodges ,/,"54,240",26.2%
Arkansas,AR,2nd,Republican,Hill* ,Incumbent,"147,700",60.1%
Arkansas,AR,2nd,Democratic,Hathaway ,/,"86,553",35.2%
Arkansas,AR,2nd,Libertarian Party,White ,/,"11,564",4.7%
Arkansas,AR,3rd,Republican,Womack* ,Incumbent,"142,270",63.7%
Arkansas,AR,3rd,Democratic,Mallett-Hays ,/,"73,446",32.9%
Arkansas,AR,3rd,Libertarian Party,Kalagias ,/,"7,637",3.4%
Arkansas,AR,4th,Republican,Westerman* ,Incumbent,"153,694",71.0%
Arkansas,AR,4th,Democratic,White ,/,"56,661",26.2%
Arkansas,AR,4th,Libertarian Party,Maxwell ,/,"6,087",2.8%
California,CA,1st,Republican,LaMalfa* ,Incumbent,"152,839",62.1%
California,CA,1st,Democratic,Steiner ,/,"93,386",37.9%
California,CA,2nd,Democratic,Huffman* ,Incumbent,"229,720",74.4%
California,CA,2nd,Republican,Brower ,/,"79,029",25.6%
California,CA,3rd,Republican,Kiley ,/,"181,438",53.6%
California,CA,3rd,Democratic,Jones ,/,"156,761",46.4%
California,CA,4th,Democratic,Thompson* ,Incumbent,"176,900",67.8%
California,CA,4th,Republican,Brock ,/,"84,007",32.2%
California,CA,5th,Republican,McClintock* ,Incumbent,"173,524",61.3%
California,CA,5th,Democratic,Barkley ,/,"109,506",38.7%
California,CA,6th,Democratic,Bera* ,Incumbent,"121,058",55.9%
California,CA,6th,Republican,Hamilton ,/,"95,325",44.1%
California,CA,7th,Democratic,Matsui* ,Incumbent,"150,618",68.3%
California,CA,7th,Republican,Semenenko ,/,"70,033",31.7%
California,CA,8th,Democratic,Garamendi* ,Incumbent,"145,501",75.7%
California,CA,8th,Republican,Recile ,/,"46,634",24.3%
California,CA,9th,Democratic,Harder* ,Incumbent,"95,598",54.8%
California,CA,9th,Republican,Patti ,/,"78,802",45.2%
California,CA,10th,Democratic,DeSaulnier* ,Incumbent,"198,415",78.9%
California,CA,10th,Green Party,Kerr ,/,"52,965",21.1%
California,CA,11th,Democratic,Pelosi* ,Incumbent,"220,848",84.0%
California,CA,11th,Republican,Dennis ,/,"42,217",16.0%
California,CA,12th,Democratic,Lee* ,Incumbent,"217,110",90.5%
California,CA,12th,Republican,Slauson ,/,"22,859",9.5%
California,CA,13th,Republican,Duarte ,/,"67,060",50.2%
California,CA,13th,Democratic,Gray ,/,"66,496",49.8%
California,CA,14th,Democratic,Swalwell* ,Incumbent,"137,612",69.3%
California,CA,14th,Republican,Hayden ,/,"60,852",30.7%
California,CA,15th,Democratic,Mullin ,/,"108,077",55.5%
California,CA,15th,Democratic,Canepa ,/,"86,797",44.5%
California,CA,16th,Democratic,Eshoo* ,Incumbent,"139,235",57.8%
California,CA,16th,Democratic,Kumar ,/,"101,772",42.2%
California,CA,17th,Democratic,Khanna* ,Incumbent,"127,853",70.9%
California,CA,17th,Republican,Tandon ,/,"52,400",29.1%
California,CA,18th,Democratic,Lofgren* ,Incumbent,"99,776",65.9%
California,CA,18th,Republican,Hernandez ,/,"51,737",34.1%
California,CA,19th,Democratic,Panetta* ,Incumbent,"194,494",68.7%
California,CA,19th,Republican,Gorman ,/,"88,816",31.3%
California,CA,20th,Republican,McCarthy* ,Incumbent,"153,844",67.2%
California,CA,20th,Democratic,Wood ,/,"74,932",32.8%
